let,num
пу,753583
пх,756136
пч,756159
пш,756244
пы,756291
пь,756953
пэ,757188
пя,757192
ра,758446
рв,801128
рд,801325
ре,801369
рж,808632
ри,808770
ро,809675
рт,812149
ру,812166
ры,814300
ро,815224
ры,815233
ро,815240
ры,815249
рь,815465
рэ,815480
рю,815496
ря,815565
са,815996
сб,820915
св,822341
сг,828814
сд,830120
се,831431
ся,836360
се,836366
сж,836688
сз,837296
си,837362
ск,840766
сл,848526
см,852666
сн,857038
со,858628
су,859547
со,859556
су,859560
со,859569
сп,870666
ср,876671
сс,878752
ст,879339
су,890575
сф,894741
сх,895249
сц,895951
сч,896435
сш,896930
съ,897113
сы,897626
сэ,898326
сю,898367
ся,898532
та,898544
тб,901345
тв,901357
те,901822
ти,907060
тк,908384
тл,908561
тм,908649
то,908661
тр,912781
ту,920886
тщ,922839
ты,922969
ть,923492
тю,923509
тя,923884
уб,924688
ув,926111
уг,928875
уд,930835
уж,932408
уд,932409
уе,934010
уж,934294
уз,934971
уй,935794
ук,935823
ул,938737
ум,940374
ун,943137
уп,944420
ур,947815
ус,949150
уш,950602
ус,950608
ут,954340
уф,957943
ух,957971
уц,958912
уч,959051
уш,960058
ущ,960447
уэ,960634
ую,960646
уя,960678
фа,960870
фе,962824
фи,963740
фл,965668
фо,966446
фр,968955
фт,969982
фу,970101
фы,970779
фь,970881
фю,970893
ха,970917
хв,972022
хе,972627
хи,972798
хл,973512
хм,974829
хн,975088
хо,975146
хр,976788
ху,978317
хь,978814
ца,978826
цв,979382
це,979651
ци,981683
цо,982717
цу,982808
цы,982832
цю,983010
ча,983022
чв,984009
че,984080
чт,986745
че,986751
чи,988229
чл,989538
чм,989641
чо,989753
чр,989856
чт,989999
чу,990080
ша,991218
шв,992936
ше,993372
ши,995238
шк,996568
шл,996911
шм,997563
шн,997734
шо,997929
шп,998205
шр,999052
шт,999098
шу,1000365
шх,1001006
шь,1001015
ща,1001027
ще,1001108
ща,1002066
щи,1002069
щу,1002330
эб,1002549
эв,1002589
эг,1002972
эд,1003073
эз,1003109
эй,1003142
